Year,시도,Value
2011,0.전국,12.7
2013,0.전국,13.6
2015,0.전국,13.9
2017,0.전국,15.4
2019,0.전국,16.8
2021,0.전국,18.7
2011,1.수도권,13.4
2013,1.수도권,13.8
2015,1.수도권,14.6
2017,1.수도권,15.9
2019,1.수도권,17.7
2021,1.수도권,19.2
2011,2.서울특별시,15.4
2013,2.서울특별시,14
2015,2.서울특별시,16
2017,2.서울특별시,18.3
2019,2.서울특별시,17.5
2021,2.서울특별시,20.5
2011,3.인천광역시,10.6
2013,3.인천광역시,11.7
2015,3.인천광역시,11.7
2017,3.인천광역시,12.8
2019,3.인천광역시,19
2021,3.인천광역시,17.9
2011,4.경기도,12.2
2013,4.경기도,14.2
2015,4.경기도,14.2
2017,4.경기도,14.8
2019,4.경기도,17.5
2021,4.경기도,18.6
