Year,시도,Value
2012,0.전국,56.1
2014,0.전국,55.2
2016,0.전국,56.5
2018,0.전국,56.7
2020,0.전국,58.7
2022,0.전국,64.4
2012,1.수도권,55.3
2014,1.수도권,54.7
2016,1.수도권,55.4
2018,1.수도권,55.3
2020,1.수도권,57.7
2022,1.수도권,64.7
2012,2.서울특별시,54.2
2014,2.서울특별시,57.5
2016,2.서울특별시,54.7
2018,2.서울특별시,53.5
2020,2.서울특별시,56.3
2022,2.서울특별시,64.6
2012,3.인천광역시,52.7
2014,3.인천광역시,56.6
2016,3.인천광역시,54.9
2018,3.인천광역시,55.8
2020,3.인천광역시,57.2
2022,3.인천광역시,62.0
2012,4.경기도,56.8
2014,4.경기도,51.9
2016,4.경기도,56.2
2018,4.경기도,56.5
2020,4.경기도,58.8
2022,4.경기도,65.4
